Date,Location,Description
8/14/20,"Tralee, Co. Kerry",shot up by troop and police
9/27/20,"Trim, Co. Meath",sacked by police
7/20/20,"Tuam, Co. Galway",sacked by police
9/20/20,"Tuam, Co. Galway",shot up by police
9/30/20,"Tuam, Co. Galway",shot up by police
10/4/20,"Tuam, Co. Galway",shot up by police
10/8/20,"Tuam, Co. Galway",shot up by police
9/22/20,"Tuam, Co. Galway ",houses wrecked by police
9/10/20,"Tullow, Co. Carlow",sacked by police
10/4/20,"Turloughmore, Co. Galway",shot up by police
7/3/20,"Union Hall, Co. Cork",shot up by police
7/30/20,"Upperchurch, Co. Tipperary",partially sacked by police
10/8/20,"Williamstown, Co. Roscommon",shot up by police
